title,published,modified,pdfUrl,conference
Frequency-Modulated Point Cloud Rendering with Easy Editing,"13 March, 2023","18 March, 2023",https://arxiv.org/pdf/2303.07596,CVPR 2023
Magic3D: High-Resolution Text-to-3D Content Creation,"18 November, 2022","25 March, 2023",https://arxiv.org/pdf/2211.10440,CVPR 2023
ECON: Explicit Clothed humans Optimized via Normal integration,"14 December, 2022","23 March, 2023",https://arxiv.org/pdf/2212.07422,CVPR 2023
PLIKS: A Pseudo-Linear Inverse Kinematic Solver for 3D Human Body Estimation,"21 November, 2022","27 March, 2023",https://arxiv.org/pdf/2211.11734,CVPR 2023
Progressive Transformation Learning for Leveraging Virtual Images in Training,"3 November, 2022","27 March, 2023",https://arxiv.org/pdf/2211.01778,CVPR 2023
Understanding and Improving Features Learned in Deep Functional Maps,"29 March, 2023","29 March, 2023",https://arxiv.org/pdf/2303.16527,CVPR 2023
Neural Volumetric Memory for Visual Locomotion Control,"3 April, 2023","3 April, 2023",https://arxiv.org/pdf/2304.01201,CVPR 2023
SIEDOB: Semantic Image Editing by Disentangling Object and Background,"23 March, 2023","23 March, 2023",https://arxiv.org/pdf/2303.13062,CVPR 2023
MaskSketch: Unpaired Structure-guided Masked Image Generation,"10 February, 2023","10 February, 2023",https://arxiv.org/pdf/2302.05496,CVPR 2023
Polynomial Implicit Neural Representations For Large Diverse Datasets,"20 March, 2023","20 March, 2023",https://arxiv.org/pdf/2303.11424,CVPR 2023
Top-Down Visual Attention from Analysis by Synthesis,"23 March, 2023","23 March, 2023",https://arxiv.org/pdf/2303.13043,CVPR 2023
Masked Image Modeling with Local Multi-Scale Reconstruction,"9 March, 2023","9 March, 2023",https://arxiv.org/pdf/2303.05251,CVPR 2023
Egocentric Video Task Translation,"12 December, 2022","6 April, 2023",https://arxiv.org/pdf/2212.06301,CVPR 2023
QPGesture: Quantization-Based and Phase-Guided Motion Matching for Natural Speech-Driven Gesture Generation,"18 May, 2023","18 May, 2023",https://arxiv.org/pdf/2305.11094,CVPR 2023
Actionlet-Dependent Contrastive Learning for Unsupervised Skeleton-Based Action Recognition,"20 March, 2023","21 March, 2023",https://arxiv.org/pdf/2303.10904,CVPR 2023
Connecting Vision and Language with Video Localized Narratives,"22 February, 2023","15 March, 2023",https://arxiv.org/pdf/2302.11217,CVPR 2023
Video-Text as Game Players: Hierarchical Banzhaf Interaction for Cross-Modal Representation Learning,"25 March, 2023","25 March, 2023",https://arxiv.org/pdf/2303.14369,CVPR 2023
Improving Commonsense in Vision-Language Models via Knowledge Graph Riddles,"29 November, 2022","29 November, 2022",https://arxiv.org/pdf/2211.16504,CVPR 2023
FAME-ViL: Multi-Tasking Vision-Language Model for Heterogeneous Fashion Tasks,"4 March, 2023","4 March, 2023",https://arxiv.org/pdf/2303.02483,CVPR 2023
Uni-Perceiver v2: A Generalist Model for Large-Scale Vision and Vision-Language Tasks,"17 November, 2022","17 November, 2022",https://arxiv.org/pdf/2211.09808,CVPR 2023
Side Adapter Network for Open-Vocabulary Semantic Segmentation,"23 February, 2023","22 March, 2023",https://arxiv.org/pdf/2302.12242,CVPR 2023
Open-Vocabulary Panoptic Segmentation with Text-to-Image Diffusion Models,"8 March, 2023","5 April, 2023",https://arxiv.org/pdf/2303.04803,CVPR 2023
Consistent-Teacher: Towards Reducing Inconsistent Pseudo-targets in Semi-supervised Object Detection,"4 September, 2022","28 March, 2023",https://arxiv.org/pdf/2209.01589,CVPR 2023
