title,published,modified,pdfUrl,conference
Is Conditional Generative Modeling all you need for Decision Making?,02 Feb 2023,02 Mar 2023,https://openreview.net/pdf?id=sP1fo2K9DFG,ICLR 2023 notable top 5%
The Lie Derivative for Measuring Learned Equivariance,02 Feb 2023,27 Feb 2023,https://openreview.net/pdf?id=JL7Va5Vy15J,ICLR 2023 notable top 5%
Agree to Disagree: Diversity through Disagreement for Better Transferability,02 Feb 2023,28 Feb 2023,https://openreview.net/pdf?id=K7CbYQbyYhY,ICLR 2023 notable top 5%
Efficient Conditionally Invariant Representation Learning,02 Feb 2023,26 Feb 2023,https://openreview.net/pdf?id=dJruFeSRym1,ICLR 2023 notable top 5%
Aligning Model and Macaque Inferior Temporal Cortex Representations Improves Model-to-Human Behavioral Alignment and Adversarial Robustness,02 Feb 2023,02 Mar 2023,https://openreview.net/pdf?id=SMYdcXjJh1q,ICLR 2023 notable top 5%
Transformers Learn Shortcuts to Automata,02 Feb 2023,02 Mar 2023,https://openreview.net/pdf?id=De4FYqjFueZ,ICLR 2023 notable top 5%
In-context Reinforcement Learning with Algorithm Distillation,02 Feb 2023,28 Feb 2023,https://openreview.net/pdf?id=hy0a5MMPUv,ICLR 2023 notable top 5%
Selection-Inference: Exploiting Large Language Models for Interpretable Logical Reasoning,02 Feb 2023,02 Mar 2023,https://openreview.net/pdf?id=3Pf3Wg6o-A4,ICLR 2023 notable top 5%
Compressing multidimensional weather and climate data into neural networks,02 Feb 2023,02 Mar 2023,https://openreview.net/pdf?id=Y5SEe3dfniJ,ICLR 2023 notable top 5%
Confidential-PROFITT: Confidential PROof of FaIr Training of Trees,02 Feb 2023,02 Mar 2023,https://openreview.net/pdf?id=iIfDQVyuFD,ICLR 2023 notable top 5%
Near-optimal Coresets for Robust Clustering,02 Feb 2023,24 Feb 2023,https://openreview.net/pdf?id=Nc1ZkRW8Vde,ICLR 2023 notable top 5%
Targeted Hyperparameter Optimization with Lexicographic Preferences Over Multiple Objectives,02 Feb 2023,02 Mar 2023,https://openreview.net/pdf?id=0Ij9_q567Ma,ICLR 2023 notable top 5%
Mastering the Game of No-Press Diplomacy via Human-Regularized Reinforcement Learning and Planning,02 Feb 2023,02 Mar 2023,https://openreview.net/pdf?id=F61FwJTZhb,ICLR 2023 notable top 5%
Efficient Attention via Control Variates,02 Feb 2023,28 May 2023,https://openreview.net/pdf?id=G-uNfHKrj46,ICLR 2023 notable top 5%
SAM as an Optimal Relaxation of Bayes,02 Feb 2023,02 Mar 2023,https://openreview.net/pdf?id=k4fevFqSQcX,ICLR 2023 notable top 5%
Learning on Large-scale Text-attributed Graphs via Variational Inference,02 Feb 2023,01 Mar 2023,https://openreview.net/pdf?id=q0nmYciuuZN,ICLR 2023 notable top 5%
Extreme Q-Learning: MaxEnt RL without Entropy,02 Feb 2023,01 Mar 2023,https://openreview.net/pdf?id=SJ0Lde3tRL,ICLR 2023 notable top 5%
Efficiently Computing Nash Equilibria in Adversarial Team Markov Games,02 Feb 2023,02 Mar 2023,https://openreview.net/pdf?id=mjzm6btqgV,ICLR 2023 notable top 5%
Simplified State Space Layers for Sequence Modeling,02 Feb 2023,28 May 2023,https://openreview.net/pdf?id=Ai8Hw3AXqks,ICLR 2023 notable top 5%
Moving Forward by Moving Backward: Embedding Action Impact over Action Semantics,02 Feb 2023,03 Mar 2023,https://openreview.net/pdf?id=vmjctNUSWI,ICLR 2023 notable top 5%
SimPer: Simple Self-Supervised Learning of Periodic Targets,02 Feb 2023,28 May 2023,https://openreview.net/pdf?id=EKpMeEV0hOo,ICLR 2023 notable top 5%
Sample-Efficient Reinforcement Learning by Breaking the Replay Ratio Barrier,02 Feb 2023,14 Feb 2023,https://openreview.net/pdf?id=OpC-9aBBVJe,ICLR 2023 notable top 5%
Dr.Spider: A Diagnostic Evaluation Benchmark towards Text-to-SQL Robustness,02 Feb 2023,17 Feb 2023,https://openreview.net/pdf?id=Wc5bmZZU9cy,ICLR 2023 notable top 5%
Temporal Domain Generalization with Drift-Aware Dynamic Neural Networks,02 Feb 2023,27 Feb 2023,https://openreview.net/pdf?id=sWOsRj4nT1n,ICLR 2023 notable top 5%
Encoding Recurrence into Transformers,02 Feb 2023,28 Feb 2023,https://openreview.net/pdf?id=7YfHla7IxBJ,ICLR 2023 notable top 5%
Modeling content creator incentives on algorithm-curated platforms,02 Feb 2023,02 Mar 2023,https://openreview.net/pdf?id=l6CpxixmUg,ICLR 2023 notable top 5%
Transfer NAS with Meta-learned Bayesian Surrogates,02 Feb 2023,01 Mar 2023,https://openreview.net/pdf?id=paGvsrl4Ntr,ICLR 2023 notable top 5%
Scaling Up Probabilistic Circuits by Latent Variable Distillation,02 Feb 2023,28 Feb 2023,https://openreview.net/pdf?id=067CGykiZTS,ICLR 2023 notable top 5%
A Kernel Perspective of Skip Connections in Convolutional Networks,02 Feb 2023,27 Feb 2023,https://openreview.net/pdf?id=6H_uOfcwiVh,ICLR 2023 notable top 5%
WikiWhy: Answering and Explaining Cause-and-Effect Questions,02 Feb 2023,02 Mar 2023,https://openreview.net/pdf?id=vaxnu-Utr4l,ICLR 2023 notable top 5%
Git Re-Basin: Merging Models modulo Permutation Symmetries,02 Feb 2023,01 Mar 2023,https://openreview.net/pdf?id=CQsmMYmlP5T,ICLR 2023 notable top 5%
The Role of Coverage in Online Reinforcement Learning,02 Feb 2023,26 Feb 2023,https://openreview.net/pdf?id=LQIjzPdDt3q,ICLR 2023 notable top 5%
Is the Performance of My Deep Network Too Good to Be True? A Direct Approach to Estimating the Bayes Error in Binary Classification,02 Feb 2023,02 Mar 2023,https://openreview.net/pdf?id=FZdJQgy05rz,ICLR 2023 notable top 5%
Offline Q-learning on Diverse Multi-Task Data Both Scales And Generalizes,02 Feb 2023,02 Mar 2023,https://openreview.net/pdf?id=4-k7kUavAj,ICLR 2023 notable top 5%
What learning algorithm is in-context learning? Investigations with linear models,02 Feb 2023,28 May 2023,https://openreview.net/pdf?id=0g0X4H8yN4I,ICLR 2023 notable top 5%
"Towards Understanding Ensemble, Knowledge Distillation and Self-Distillation in Deep Learning",02 Feb 2023,02 Mar 2023,https://openreview.net/pdf?id=Uuf2q9TfXGA,ICLR 2023 notable top 5%
"When and Why Vision-Language Models Behave like Bags-Of-Words, and What to Do About It?",02 Feb 2023,02 Mar 2023,https://openreview.net/pdf?id=KRLUvxh8uaX,ICLR 2023 notable top 5%
Confidence-Conditioned Value Functions for Offline Reinforcement Learning,02 Feb 2023,02 Mar 2023,https://openreview.net/pdf?id=Zeb5mTuqT5,ICLR 2023 notable top 5%
On the Sensitivity of Reward Inference to Misspecified Human Models,02 Feb 2023,02 Mar 2023,https://openreview.net/pdf?id=hJqGbUpDGV,ICLR 2023 notable top 5%
Time Will Tell: New Outlooks and A Baseline for Temporal Multi-View 3D Object Detection,02 Feb 2023,28 May 2023,https://openreview.net/pdf?id=H3HcEJA2Um,ICLR 2023 notable top 5%
Dichotomy of Control: Separating What You Can Control from What You Cannot,02 Feb 2023,02 Mar 2023,https://openreview.net/pdf?id=DEGjDDV22pI,ICLR 2023 notable top 5%
Learning where and when to reason in neuro-symbolic inference,02 Feb 2023,24 Feb 2023,https://openreview.net/pdf?id=en9V5F8PR-,ICLR 2023 notable top 5%
On the duality between contrastive and non-contrastive self-supervised learning,02 Feb 2023,01 Mar 2023,https://openreview.net/pdf?id=kDEL91Dufpa,ICLR 2023 notable top 5%
DreamFusion: Text-to-3D using 2D Diffusion,02 Feb 2023,28 May 2023,https://openreview.net/pdf?id=FjNys5c7VyY,ICLR 2023 notable top 5%
Sampling is as easy as learning the score: theory for diffusion models with minimal data assumptions,02 Feb 2023,14 Feb 2023,https://openreview.net/pdf?id=zyLVMgsZ0U_,ICLR 2023 notable top 5%
Universal Few-shot Learning of Dense Prediction Tasks with Visual Token Matching,02 Feb 2023,28 May 2023,https://openreview.net/pdf?id=88nT0j5jAn,ICLR 2023 notable top 5%
Mitigating Gradient Bias in Multi-objective Learning: A Provably Convergent Approach,02 Feb 2023,01 Mar 2023,https://openreview.net/pdf?id=dLAYGdKTi2,ICLR 2023 notable top 5%
ReAct: Synergizing Reasoning and Acting in Language Models,02 Feb 2023,02 Mar 2023,https://openreview.net/pdf?id=WE_vluYUL-X,ICLR 2023 notable top 5%
