,title,published,modified,pdfUrl,conference
0,Is Conditional Generative Modeling all you need for Decision Making?,02 Feb 2023,02 Mar 2023,https://openreview.net/pdf?id=sP1fo2K9DFG,ICLR 2023 notable top 5%
1,The Lie Derivative for Measuring Learned Equivariance,02 Feb 2023,27 Feb 2023,https://openreview.net/pdf?id=JL7Va5Vy15J,ICLR 2023 notable top 5%
2,Agree to Disagree: Diversity through Disagreement for Better Transferability,02 Feb 2023,28 Feb 2023,https://openreview.net/pdf?id=K7CbYQbyYhY,ICLR 2023 notable top 5%
3,Efficient Conditionally Invariant Representation Learning,02 Feb 2023,26 Feb 2023,https://openreview.net/pdf?id=dJruFeSRym1,ICLR 2023 notable top 5%
4,Aligning Model and Macaque Inferior Temporal Cortex Representations Improves Model-to-Human Behavioral Alignment and Adversarial Robustness,02 Feb 2023,02 Mar 2023,https://openreview.net/pdf?id=SMYdcXjJh1q,ICLR 2023 notable top 5%
5,Transformers Learn Shortcuts to Automata,02 Feb 2023,02 Mar 2023,https://openreview.net/pdf?id=De4FYqjFueZ,ICLR 2023 notable top 5%
6,In-context Reinforcement Learning with Algorithm Distillation,02 Feb 2023,28 Feb 2023,https://openreview.net/pdf?id=hy0a5MMPUv,ICLR 2023 notable top 5%
7,Selection-Inference: Exploiting Large Language Models for Interpretable Logical Reasoning,02 Feb 2023,02 Mar 2023,https://openreview.net/pdf?id=3Pf3Wg6o-A4,ICLR 2023 notable top 5%
8,Compressing multidimensional weather and climate data into neural networks,02 Feb 2023,02 Mar 2023,https://openreview.net/pdf?id=Y5SEe3dfniJ,ICLR 2023 notable top 5%
9,Confidential-PROFITT: Confidential PROof of FaIr Training of Trees,02 Feb 2023,02 Mar 2023,https://openreview.net/pdf?id=iIfDQVyuFD,ICLR 2023 notable top 5%
10,Near-optimal Coresets for Robust Clustering,02 Feb 2023,24 Feb 2023,https://openreview.net/pdf?id=Nc1ZkRW8Vde,ICLR 2023 notable top 5%
11,Targeted Hyperparameter Optimization with Lexicographic Preferences Over Multiple Objectives,02 Feb 2023,02 Mar 2023,https://openreview.net/pdf?id=0Ij9_q567Ma,ICLR 2023 notable top 5%
12,Mastering the Game of No-Press Diplomacy via Human-Regularized Reinforcement Learning and Planning,02 Feb 2023,02 Mar 2023,https://openreview.net/pdf?id=F61FwJTZhb,ICLR 2023 notable top 5%
13,Efficient Attention via Control Variates,02 Feb 2023,28 May 2023,https://openreview.net/pdf?id=G-uNfHKrj46,ICLR 2023 notable top 5%
14,SAM as an Optimal Relaxation of Bayes,02 Feb 2023,02 Mar 2023,https://openreview.net/pdf?id=k4fevFqSQcX,ICLR 2023 notable top 5%
15,Learning on Large-scale Text-attributed Graphs via Variational Inference,02 Feb 2023,01 Mar 2023,https://openreview.net/pdf?id=q0nmYciuuZN,ICLR 2023 notable top 5%
16,Extreme Q-Learning: MaxEnt RL without Entropy,02 Feb 2023,01 Mar 2023,https://openreview.net/pdf?id=SJ0Lde3tRL,ICLR 2023 notable top 5%
17,Efficiently Computing Nash Equilibria in Adversarial Team Markov Games,02 Feb 2023,02 Mar 2023,https://openreview.net/pdf?id=mjzm6btqgV,ICLR 2023 notable top 5%
18,Simplified State Space Layers for Sequence Modeling,02 Feb 2023,28 May 2023,https://openreview.net/pdf?id=Ai8Hw3AXqks,ICLR 2023 notable top 5%
19,Moving Forward by Moving Backward: Embedding Action Impact over Action Semantics,02 Feb 2023,03 Mar 2023,https://openreview.net/pdf?id=vmjctNUSWI,ICLR 2023 notable top 5%
20,SimPer: Simple Self-Supervised Learning of Periodic Targets,02 Feb 2023,28 May 2023,https://openreview.net/pdf?id=EKpMeEV0hOo,ICLR 2023 notable top 5%
21,Sample-Efficient Reinforcement Learning by Breaking the Replay Ratio Barrier,02 Feb 2023,14 Feb 2023,https://openreview.net/pdf?id=OpC-9aBBVJe,ICLR 2023 notable top 5%
22,Dr.Spider: A Diagnostic Evaluation Benchmark towards Text-to-SQL Robustness,02 Feb 2023,17 Feb 2023,https://openreview.net/pdf?id=Wc5bmZZU9cy,ICLR 2023 notable top 5%
23,Temporal Domain Generalization with Drift-Aware Dynamic Neural Networks,02 Feb 2023,27 Feb 2023,https://openreview.net/pdf?id=sWOsRj4nT1n,ICLR 2023 notable top 5%
24,Encoding Recurrence into Transformers,02 Feb 2023,28 Feb 2023,https://openreview.net/pdf?id=7YfHla7IxBJ,ICLR 2023 notable top 5%
25,Modeling content creator incentives on algorithm-curated platforms,02 Feb 2023,02 Mar 2023,https://openreview.net/pdf?id=l6CpxixmUg,ICLR 2023 notable top 5%
26,Transfer NAS with Meta-learned Bayesian Surrogates,02 Feb 2023,01 Mar 2023,https://openreview.net/pdf?id=paGvsrl4Ntr,ICLR 2023 notable top 5%
27,Scaling Up Probabilistic Circuits by Latent Variable Distillation,02 Feb 2023,28 Feb 2023,https://openreview.net/pdf?id=067CGykiZTS,ICLR 2023 notable top 5%
28,A Kernel Perspective of Skip Connections in Convolutional Networks,02 Feb 2023,27 Feb 2023,https://openreview.net/pdf?id=6H_uOfcwiVh,ICLR 2023 notable top 5%
29,WikiWhy: Answering and Explaining Cause-and-Effect Questions,02 Feb 2023,02 Mar 2023,https://openreview.net/pdf?id=vaxnu-Utr4l,ICLR 2023 notable top 5%
30,Git Re-Basin: Merging Models modulo Permutation Symmetries,02 Feb 2023,01 Mar 2023,https://openreview.net/pdf?id=CQsmMYmlP5T,ICLR 2023 notable top 5%
31,The Role of Coverage in Online Reinforcement Learning,02 Feb 2023,26 Feb 2023,https://openreview.net/pdf?id=LQIjzPdDt3q,ICLR 2023 notable top 5%
